名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"136,593.6 ","73,937.3 ","72,100.4 ","60,618.2 ","5,003.1 ","18,782.2 ","2,088.8 ","25,885.5 ","8,481.5 ",1.0 ,"2,414.2 ","17,692.9 ","15,278.6 ",,"2,208.5 ","3,232.4 ","1,023.9 ","138,802.1 ",,"134,179.4 ","99,811.4 ","34,368.0 ",,"32,266.8 ",,"134,503.8 ",,,,,,
2005/ 1- 3.,"128,048.3 ","71,781.3 ","70,745.4 ","59,208.7 ","4,623.6 ","21,779.2 ","-2,895.6 ","22,041.5 ","8,521.0 ",43.0 ,"2,154.3 ","16,888.6 ","14,734.2 ",,"2,979.2 ","3,931.2 ",952.0 ,"131,027.5 ",,"125,894.0 ","95,288.5 ","30,605.5 ",,"34,923.8 ",,"130,900.9 ",,,,,,
4- 6.,"129,670.2 ","71,668.8 ","70,191.5 ","58,604.6 ","4,579.4 ","18,544.8 ","2,045.2 ","25,521.8 ","5,408.6 ",-7.1 ,"1,908.8 ","17,602.2 ","15,693.4 ",,"2,519.8 ","3,980.7 ","1,460.8 ","132,190.0 ",,"127,761.4 ","96,838.2 ","30,923.3 ",,"28,532.8 ",,"127,632.1 ",,,,,,
7- 9.,"128,696.8 ","73,224.0 ","71,782.0 ","60,142.7 ","5,073.2 ","21,167.2 ",-70.1 ,"21,370.8 ","6,266.1 ",4.7 ,"1,660.7 ","18,633.5 ","16,972.8 ",,"3,233.1 ","4,230.9 ",997.7 ,"131,929.9 ",,"127,036.1 ","99,394.3 ","27,641.7 ",,"32,506.6 ",,"128,762.1 ",,,,,,
10-12.,"137,717.6 ","74,869.1 ","72,952.6 ","61,234.1 ","5,089.9 ","20,065.0 ","1,661.5 ","26,024.3 ","7,823.8 ",-3.4 ,"2,187.5 ","20,319.5 ","18,132.0 ",,"2,630.1 ","4,088.4 ","1,458.2 ","140,347.7 ",,"135,530.1 ","101,685.4 ","33,844.7 ",,"32,978.7 ",,"136,059.4 ",,,,,,
2006/ 1- 3.,"129,558.1 ","73,153.4 ","72,069.2 ","60,304.2 ","4,727.4 ","22,561.7 ","-3,163.8 ","22,033.5 ","8,397.6 ",28.8 ,"1,819.6 ","20,052.0 ","18,232.4 ",,"4,035.9 ","5,219.7 ","1,183.7 ","133,594.0 ",,"127,738.5 ","97,278.7 ","30,459.9 ",,"35,686.7 ",,"132,693.1 ",,,,,,
4- 6.,"130,029.9 ","72,503.6 ","71,013.9 ","59,202.6 ","4,713.4 ","18,897.0 ","1,672.2 ","25,452.4 ","5,362.1 ",-21.1 ,"1,450.4 ","20,086.7 ","18,636.3 ",,"2,950.7 ","4,905.8 ","1,955.1 ","132,980.6 ",,"128,579.5 ","97,786.1 ","30,793.4 ",,"28,972.4 ",,"128,378.8 ",,,,,,
7- 9.,"128,128.4 ","73,098.7 ","71,631.9 ","59,794.4 ","5,176.9 ","21,136.3 ",-118.8 ,"21,294.5 ","5,774.2 ",-3.2 ,"1,769.8 ","21,284.6 ","19,514.8 ",,"3,866.2 ","5,164.4 ","1,298.2 ","131,994.6 ",,"126,358.6 ","99,293.1 ","27,065.5 ",,"32,087.4 ",,"128,250.4 ",,,,,,
10-12.,"139,163.3 ","75,688.2 ","73,706.9 ","61,816.8 ","5,191.7 ","20,800.8 ","1,786.9 ","25,809.7 ","7,493.2 ",-17.7 ,"2,410.5 ","22,207.9 ","19,797.4 ",,"2,946.0 ","4,913.4 ","1,967.4 ","142,109.3 ",,"136,752.8 ","103,467.6 ","33,285.2 ",,"33,485.7 ",,"137,394.0 ",,,,,,
2007/ 1- 3.,"131,712.0 ","73,307.8 ","72,221.3 ","60,271.8 ","4,816.5 ","23,584.9 ","-2,407.9 ","21,945.1 ","7,805.5 ",6.7 ,"2,653.6 ","22,216.5 ","19,562.9 ",,"4,817.5 ","6,262.6 ","1,445.1 ","136,529.5 ",,"129,058.4 ","99,301.2 ","29,757.2 ",,"36,206.8 ",,"134,113.2 ",,,,,,
4- 6.,"131,836.0 ","73,205.4 ","71,769.6 ","59,775.4 ","4,726.5 ","19,131.0 ","1,885.3 ","25,673.0 ","5,018.2 ",27.1 ,"2,169.5 ","22,787.3 ","20,617.8 ",,"3,683.7 ","5,949.9 ","2,266.2 ","135,519.7 ",,"129,666.5 ","98,948.2 ","30,718.4 ",,"28,875.8 ",,"129,923.6 ",,,,,,
7- 9.,"129,386.6 ","73,697.3 ","72,227.4 ","60,185.2 ","4,677.6 ","20,982.1 ",110.1 ,"21,475.4 ","5,649.7 ",-10.8 ,"2,805.1 ","23,597.1 ","20,792.0 ",,"4,280.1 ","6,043.9 ","1,763.8 ","133,666.7 ",,"126,581.5 ","99,467.1 ","27,114.4 ",,"31,309.5 ",,"129,287.3 ",,,,,,
